sous_classes,sous_classesLabel
,
http://www.wikidata.org/entity/Q10373653,aquarelliste
http://www.wikidata.org/entity/Q21550489,artiste conceptuel
http://www.wikidata.org/entity/Q18074503,artiste d'installation
http://www.wikidata.org/entity/Q10774753,artiste de performance
http://www.wikidata.org/entity/Q1925963,artiste graphique
http://www.wikidata.org/entity/Q6934789,artiste multimédia
http://www.wikidata.org/entity/Q11079476,artiste numérique
http://www.wikidata.org/entity/Q1028181,artiste peintre
http://www.wikidata.org/entity/Q18216771,artiste vidéo
http://www.wikidata.org/entity/Q11606860,auteur de livres illustrés
http://www.wikidata.org/entity/Q107436166,auteur de roman graphique
http://www.wikidata.org/entity/Q3658608,caricaturiste
http://www.wikidata.org/entity/Q1111648,coloriste
http://www.wikidata.org/entity/Q59587410,coloriste de bande dessinée
http://www.wikidata.org/entity/Q715301,créateur ou créatrice de bandes dessinées
http://www.wikidata.org/entity/Q7541856,céramiste
http://www.wikidata.org/entity/Q15296811,dessinateur ou dessinatrice
http://www.wikidata.org/entity/Q17098559,dessinateur ou dessinatrice de bande dessinée
http://www.wikidata.org/entity/Q2000124,dessinateur ou dessinatrice de timbres
http://www.wikidata.org/entity/Q1114448,dessinateur ou dessinatrice humoristique
http://www.wikidata.org/entity/Q337084,drag queen
http://www.wikidata.org/entity/Q15095148,graffeur
http://www.wikidata.org/entity/Q11569986,graveur ou graveuse d'estampes
http://www.wikidata.org/entity/Q644687,illustrateur ou illustratrice
http://www.wikidata.org/entity/Q16947657,lithographe
http://www.wikidata.org/entity/Q191633,mangaka
http://www.wikidata.org/entity/Q47494964,miniaturiste
http://www.wikidata.org/entity/Q329439,orfèvre graveur ou graveuse
http://www.wikidata.org/entity/Q20857490,pastelliste
http://www.wikidata.org/entity/Q21600439,peintre de paysage
http://www.wikidata.org/entity/Q1183704,peintre décorateur
http://www.wikidata.org/entity/Q28947943,peintre miniaturiste
http://www.wikidata.org/entity/Q3374326,peintre muraliste
http://www.wikidata.org/entity/Q33231,photographe
http://www.wikidata.org/entity/Q64213888,photographe animalier
http://www.wikidata.org/entity/Q3381571,photographe plasticien
http://www.wikidata.org/entity/Q2544530,photographe portraitiste
http://www.wikidata.org/entity/Q21178131,portraitiste
http://www.wikidata.org/entity/Q3400050,potier ou potière
http://www.wikidata.org/entity/Q1281618,sculpteur ou sculptrice
http://www.wikidata.org/entity/Q1861368,tatoueur ou tatoueuse
http://www.wikidata.org/entity/Q2865798,verrier ou verrière
http://www.wikidata.org/entity/Q2737906,vidéaste
http://www.wikidata.org/entity/Q2205972,vitrailliste
